Gene,description
K02953,small subunit ribosomal protein S13e
K02954,small subunit ribosomal protein S14
K02955,small subunit ribosomal protein S14e
K02956,small subunit ribosomal protein S15
K02957,small subunit ribosomal protein S15Ae
K02958,small subunit ribosomal protein S15e
K02959,small subunit ribosomal protein S16
K02961,small subunit ribosomal protein S17
K02962,small subunit ribosomal protein S17e
K02963,small subunit ribosomal protein S18
K02964,small subunit ribosomal protein S18e
K02965,small subunit ribosomal protein S19
K02966,small subunit ribosomal protein S19e
K02967,small subunit ribosomal protein S2
K02968,small subunit ribosomal protein S20
K02970,small subunit ribosomal protein S21
K02973,small subunit ribosomal protein S23e
K02974,small subunit ribosomal protein S24e
K02975,small subunit ribosomal protein S25e
K02976,small subunit ribosomal protein S26e
K02978,small subunit ribosomal protein S27e
K02979,small subunit ribosomal protein S28e
K02981,small subunit ribosomal protein S2e
K02982,small subunit ribosomal protein S3
K02984,small subunit ribosomal protein S3Ae
K02986,small subunit ribosomal protein S4
K02987,small subunit ribosomal protein S4e
K02988,small subunit ribosomal protein S5
K02990,small subunit ribosomal protein S6
K02991,small subunit ribosomal protein S6e
K02992,small subunit ribosomal protein S7
K02994,small subunit ribosomal protein S8
K02995,small subunit ribosomal protein S8e
K02996,small subunit ribosomal protein S9
K02997,small subunit ribosomal protein S9e
K02998,small subunit ribosomal protein SAe
K03004,DNA-directed RNA polymerase I subunit RPA43
K03006,DNA-directed RNA polymerase II subunit RPB1 [EC:2.7.7.6]
K03008,DNA-directed RNA polymerase II subunit RPB11
K03010,DNA-directed RNA polymerase II subunit RPB2 [EC:2.7.7.6]
K03014,"DNA-directed RNA polymerases I, II, and III subunit RPABC2"
K03018,DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]
K03019,DNA-directed RNA polymerase III subunit RPC11
K03023,DNA-directed RNA polymerase III subunit RPC3
K03024,DNA-directed RNA polymerase III subunit RPC7
K03025,DNA-directed RNA polymerase III subunit RPC6
K03026,DNA-directed RNA polymerase III subunit RPC4
K03032,26S proteasome regulatory subunit N2
K03033,26S proteasome regulatory subunit N3
K03035,26S proteasome regulatory subunit N5
K03038,26S proteasome regulatory subunit N8
K03040,DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
K03041,DNA-directed RNA polymerase subunit A- [EC:2.7.7.6]
K03042,"DNA-directed RNA polymerase subunit A"" [EC:2.7.7.6]"
K03043,DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
K03046,DNA-directed RNA polymerase subunit beta- [EC:2.7.7.6]
K03047,DNA-directed RNA polymerase subunit D [EC:2.7.7.6]
K03049,DNA-directed RNA polymerase subunit E- [EC:2.7.7.6]
K03050,"DNA-directed RNA polymerase subunit E"" [EC:2.7.7.6]"
K03051,DNA-directed RNA polymerase subunit F [EC:2.7.7.6]
K03053,DNA-directed RNA polymerase subunit H [EC:2.7.7.6]
K03057,transcription factor S
K03058,DNA-directed RNA polymerase subunit N [EC:2.7.7.6]
K03059,DNA-directed RNA polymerase subunit P [EC:2.7.7.6]
K03060,DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]
K03062,26S proteasome regulatory subunit T2
K03070,preprotein translocase subunit SecA [EC:7.4.2.8]
K03071,preprotein translocase subunit SecB
K03072,preprotein translocase subunit SecD
K03073,preprotein translocase subunit SecE
K03074,preprotein translocase subunit SecF
K03075,preprotein translocase subunit SecG
K03076,preprotein translocase subunit SecY
K03077,L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]
K03078,3-dehydro-L-gulonate-6-phosphate decarboxylase [EC:4.1.1.85]
K03079,L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22]
K03086,RNA polymerase primary sigma factor
K03087,RNA polymerase nonessential primary-like sigma factor
K03088,"RNA polymerase sigma-70 factor, ECF subfamily"
K03089,RNA polymerase sigma-32 factor
K03090,RNA polymerase sigma-B factor
K03092,RNA polymerase sigma-54 factor
K03094,S-phase kinase-associated protein 1
K03097,casein kinase II subunit alpha [EC:2.7.11.1]
K03098,apolipoprotein D and lipocalin family protein
K03100,signal peptidase I [EC:3.4.21.89]
K03101,signal peptidase II [EC:3.4.23.36]
K03103,"multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.3.62 3.1.3.80]"
K03105,signal recognition particle subunit SRP19
K03106,signal recognition particle subunit SRP54 [EC:3.6.5.4]
K03110,fused signal recognition particle receptor
K03111,single-strand DNA-binding protein
K03112,DamX protein
K03113,translation initiation factor 1
K03115,casein kinase II subunit beta
K03116,sec-independent protein translocase protein TatA
K03117,sec-independent protein translocase protein TatB
K03118,sec-independent protein translocase protein TatC
K03119,taurine dioxygenase [EC:1.14.11.17]
K03120,transcription initiation factor TFIID TATA-box-binding protein
K03124,transcription initiation factor TFIIB
K03126,transcription initiation factor TFIID subunit 12
K03130,transcription initiation factor TFIID subunit 5
K03131,transcription initiation factor TFIID subunit 6
K03136,transcription initiation factor TFIIE subunit alpha
K03141,transcription initiation factor TFIIH subunit 1
K03143,transcription initiation factor TFIIH subunit 3
K03144,transcription initiation factor TFIIH subunit 4
K03145,transcription elongation factor S-II
K03147,phosphomethylpyrimidine synthase [EC:4.1.99.17]
K03149,thiazole synthase [EC:2.8.1.10]
K03150,2-iminoacetate synthase [EC:4.1.99.19]
K03151,tRNA uracil 4-sulfurtransferase [EC:2.8.1.4]
K03152,protein deglycase [EC:3.5.1.124]
K03153,glycine oxidase [EC:1.4.3.19]
K03154,sulfur carrier protein
K03163,DNA topoisomerase I [EC:5.6.2.1]
K03164,DNA topoisomerase II [EC:5.6.2.2]
K03166,DNA topoisomerase VI subunit A [EC:5.6.2.2]
K03167,DNA topoisomerase VI subunit B [EC:5.6.2.2]
K03168,DNA topoisomerase I [EC:5.6.2.1]
K03169,DNA topoisomerase III [EC:5.6.2.1]
K03177,tRNA pseudouridine55 synthase [EC:5.4.99.25]
K03179,4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]
K03181,chorismate lyase [EC:4.1.3.40]
K03182,4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]
K03183,"demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]"
K03184,3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]
K03185,2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]
K03186,flavin prenyltransferase [EC:2.5.1.129]
K03187,urease accessory protein
K03188,urease accessory protein
K03189,urease accessory protein
K03190,urease accessory protein
K03192,urease accessory protein
K03195,type IV secretion system protein VirB10
K03196,type IV secretion system protein VirB11 [EC:7.4.2.8]
K03197,type IV secretion system protein VirB2
K03198,type IV secretion system protein VirB3
K03199,type IV secretion system protein VirB4 [EC:7.4.2.8]
K03200,type IV secretion system protein VirB5
K03201,type IV secretion system protein VirB6
K03205,type IV secretion system protein VirD4 [EC:7.4.2.8]
K03206,azobenzene reductase [EC:1.7.1.6]
K03207,colanic acid biosynthesis protein WcaH [EC:3.6.1.-]
K03208,colanic acid biosynthesis glycosyl transferase WcaI
K03210,preprotein translocase subunit YajC
K03214,"RNA methyltransferase, TrmH family [EC:2.1.1.-]"
K03215,23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]
K03216,tRNA (cytidine/uridine-2--O-)-methyltransferase [EC:2.1.1.207]
K03217,YidC/Oxa1 family membrane protein insertase
K03218,23S rRNA (guanosine2251-2--O)-methyltransferase [EC:2.1.1.185]
K03219,type III secretion protein C
K03220,type III secretion protein D
K03221,type III secretion protein F
K03222,type III secretion protein J
K03224,ATP synthase in type III secretion protein N [EC:7.4.2.8]
K03225,type III secretion protein Q
K03227,type III secretion protein S
K03228,type III secretion protein T
K03229,type III secretion protein U
K03230,type III secretion protein V
K03231,elongation factor 1-alpha
K03234,elongation factor 2
K03235,elongation factor 3
K03236,translation initiation factor 1A
K03237,translation initiation factor 2 subunit 1
K03238,translation initiation factor 2 subunit 2
K03240,translation initiation factor eIF-2B subunit epsilon
K03242,translation initiation factor 2 subunit 3
K03243,translation initiation factor 5B
K03246,translation initiation factor 3 subunit I
K03251,translation initiation factor 3 subunit D
K03253,translation initiation factor 3 subunit B
K03254,translation initiation factor 3 subunit A
K03255,protein TIF31
K03256,tRNA (adenine58-N1)-methyltransferase non-catalytic subunit
K03259,translation initiation factor 4E
K03260,translation initiation factor 4G
K03263,translation initiation factor 5A
K03264,translation initiation factor 6
K03265,peptide chain release factor subunit 1
K03269,"UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]"
K03270,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]
K03271,D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]
K03272,D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]
K03273,"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]"
K03274,ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]
K03281,"chloride channel protein, CIC family"
K03282,large conductance mechanosensitive channel
K03283,heat shock 70kDa protein 1/2/6/8
K03284,magnesium transporter
K03285,"general bacterial porin, GBP family"
K03286,"OmpA-OmpF porin, OOP family"
K03287,"outer membrane factor, OMF family"
K03288,"MFS transporter, MHS family, citrate/tricarballylate:H+ symporter"
K03290,"MFS transporter, SHS family, sialic acid transporter"
K03292,"glycoside/pentoside/hexuronide:cation symporter, GPH family"
K03293,"amino acid transporter, AAT family"
K03294,"basic amino acid/polyamine antiporter, APA family"
K03296,"hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family"
K03297,small
K03297,small multidrug resistance pump
K03298,"drug/metabolite transporter, DME family"
K03299,"gluconate:H+ symporter, GntP family"
K03300,"citrate-Mg2+:H+ or citrate-Ca2+:H+ symporter, CitMHS family"
K03301,"ATP:ADP antiporter, AAA family"
K03303,lactate permease
K03304,tellurite resistance protein
K03305,"proton-dependent oligopeptide transporter, POT family"
K03306,"inorganic phosphate transporter, PiT family"
K03307,solute:Na+
K03307,"solute:Na+ symporter, SSS family"
K03308,"neurotransmitter:Na+ symporter, NSS family"
K03310,"alanine or glycine:cation symporter, AGCS family"
K03311,"branched-chain amino acid:cation transporter, LIVCS family"
K03312,"glutamate:Na+ symporter, ESS family"
K03313,"Na+:H+ antiporter, NhaA family"
K03314,"Na+:H+ antiporter, NhaB family"
K03315,"Na+:H+ antiporter, NhaC family"
K03316,"monovalent cation:H+ antiporter, CPA1 family"
K03317,"concentrative nucleoside transporter, CNT family"
K03319,"divalent anion:Na+ symporter, DASS family"
K03320,"ammonium transporter, Amt family"
K03321,"sulfate permease, SulP family"
K03322,manganese transport protein
K03324,phosphate:Na+ symporter
K03325,arsenite transporter
K03326,"C4-dicarboxylate transporter, DcuC family"
K03327,"multidrug resistance protein, MATE family"
K03328,"polysaccharide transporter, PST family"
K03329,amino acid exporter
K03330,glutamyl-tRNA(Gln) amidotransferase subunit E [EC:6.3.5.7]
K03331,L-xylulose reductase [EC:1.1.1.10]
K03332,fructan beta-fructosidase [EC:3.2.1.80]
K03333,cholesterol oxidase [EC:1.1.3.6]
K03335,inosose dehydratase [EC:4.2.1.44]
K03336,"3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing) [EC:3.7.1.22]"
K03337,5-deoxy-glucuronate isomerase [EC:5.3.1.30]
K03338,5-dehydro-2-deoxygluconokinase [EC:2.7.1.92]
K03342,para-aminobenzoate synthetase / 4-amino-4-deoxychorismate lyase [EC:2.6.1.85 4.1.3.38]
K03343,putrescine oxidase [EC:1.4.3.10]
K03349,anaphase-promoting complex subunit 2
K03355,anaphase-promoting complex subunit 8
K03358,anaphase-promoting complex subunit 11
K03361,F-box and WD-40 domain protein CDC4
K03365,cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]
K03366,"meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]"
K03367,D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13]
K03372,"MFS transporter, PAT family, solute carrier family 33 (acetyl-CoA transportor), member 1 [EC:2.3.1.-]"
K03377,N-acetylneuraminate 9-O-acetyltransferase [EC:2.3.1.45]
K03379,cyclohexanone monooxygenase [EC:1.14.13.22]
K03380,phenol 2-monooxygenase (NADPH) [EC:1.14.13.7]
K03381,"catechol 1,2-dioxygenase [EC:1.13.11.1]"
K03382,hydroxydechloroatrazine ethylaminohydrolase [EC:3.5.4.43]
K03383,cyanuric acid amidohydrolase [EC:3.5.2.15]
K03385,nitrite reductase (cytochrome c-552) [EC:1.7.2.2]
K03386,peroxiredoxin 2/4 [EC:1.11.1.24]
K03387,NADH-dependent peroxiredoxin subunit F [EC:1.8.1.-]
K03389,heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
K03390,heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
K03392,aminocarboxymuconate-semialdehyde decarboxylase [EC:4.1.1.45]
K03394,precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151]
K03396,S-(hydroxymethyl)glutathione synthase [EC:4.4.1.22]
K03399,cobalt-precorrin-7 (C5)-methyltransferase [EC:2.1.1.289]
K03402,transcriptional regulator of arginine metabolism
K03403,magnesium chelatase subunit H [EC:6.6.1.1]
K03404,magnesium chelatase subunit D [EC:6.6.1.1]
K03405,magnesium chelatase subunit I [EC:6.6.1.1]
K03406,methyl-accepting chemotaxis protein
K03407,"two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]"
K03408,purine-binding chemotaxis protein CheW
K03409,chemotaxis protein CheX
K03410,chemotaxis protein CheC
K03411,chemotaxis protein CheD [EC:3.5.1.44]
K03412,"two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]"
K03413,"two-component system, chemotaxis family, chemotaxis protein CheY"
K03414,chemotaxis protein CheZ
K03415,"two-component system, chemotaxis family, chemotaxis protein CheV"
K03417,methylisocitrate lyase [EC:4.1.3.30]
K03418,"N,N-dimethylformamidase [EC:3.5.1.56]"
K03420,proteasome regulatory subunit
K03424,TatD DNase family protein [EC:3.1.21.-]
K03426,NAD+ diphosphatase [EC:3.6.1.22]
K03427,type I restriction enzyme M protein [EC:2.1.1.72]
K03428,magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11]
K03430,2-aminoethylphosphonate-pyruvate transaminase [EC:2.6.1.37]
K03431,phosphoglucosamine mutase [EC:5.4.2.10]
K03432,proteasome alpha subunit [EC:3.4.25.1]
K03433,proteasome beta subunit [EC:3.4.25.1]
K03435,"LacI family transcriptional regulator, fructose operon transcriptional repressor"
K03436,"DeoR family transcriptional regulator, fructose operon transcriptional repressor"
K03437,"RNA methyltransferase, TrmH family"
K03438,16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]
K03439,tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]
K03442,small conductance mechanosensitive channel
K03446,"MFS transporter, DHA2 family, multidrug resistance protein"
K03449,"MFS transporter, CP family, cyanate transporter"
K03451,"betaine/carnitine transporter, BCCT family"
K03453,"bile acid:Na+ symporter, BASS family"
K03455,"monovalent cation:H+ antiporter-2, CPA2 family"
K03456,serine/threonine-protein phosphatase 2A regulatory subunit A
K03457,"nucleobase:cation symporter-1, NCS1 family"
K03462,nicotinamide phosphoribosyltransferase [EC:2.4.2.12]
